"name" "first" "second" "gender" "confidence_male"
"Ajay Jasra" "Ajay" NA "male" "1"
"Ajit C Tamhane" "Ajit" NA "male" "1"
"Akihiko Inoue" "Akihiko" NA "unknown" NA
"Alain-Jacques Valleron" "Alain-Jacques" NA "unknown" NA
"Alan Agresti" "Alan" NA "male" "0.9968"
"Alan E Gelfand" "Alan" NA "male" "0.9968"
"Alan E Hubbard" "Alan" NA "male" "0.9968"
"Alan Edelman" "Alan" NA "male" "0.9968"
"Alan F Karr" "Alan" NA "male" "0.9968"
"Alan H Welsh" "Alan" NA "male" "0.9968"
"Alan Huang" "Alan" NA "male" "0.9968"
"Alan J Cohen" "Alan" NA "male" "0.9968"
"Alan M Zaslavsky" "Alan" NA "male" "0.9968"
"Alan T K Wan" "Alan" NA "male" "0.9968"
"Albert Cohen" "Albert" NA "male" "0.9944"
"Albert Maydeu-Olivares" "Albert" NA "male" "0.9944"
"Alberto Abadie" "Alberto" NA "male" "0.9927"
"Alberto Bernacchia" "Alberto" NA "male" "0.9927"
"Alberto Rodriguez-Casal" "Alberto" NA "male" "0.9927"
"Alberto Roverato" "Alberto" NA "male" "0.9927"
"Albrecht M Kellerer" "Albrecht" NA "male" "1"
"Aldo Solari" "Aldo" NA "male" "0.9991"
"Alec Stephenson" "Alec" NA "male" "0.9927"
"Alejandro Cruz-Marcelo" "Alejandro" NA "male" "0.9925"
"Alejandro Veen" "Alejandro" NA "male" "0.9925"
"Alekh Agarwal" "Alekh" NA "unknown" NA
"Aleksandar Mijatovic" "Aleksandar" NA "male" "1"
"Aleksey Min" "Aleksey" NA "male" "0.9687"
"Aleksey S Polunchenko" "Aleksey" NA "male" "0.9687"
"Alessandra Giovagnoli" "Alessandra" NA "female" "0"
"Alessandra Luati" "Alessandra" NA "female" "0"
"Alessandra Mattei" "Alessandra" NA "female" "0"
"Alessandro Baldi Antognini" "Alessandro" "Baldi" "male" "1"
"Alessandro Rinaldo" "Alessandro" NA "male" "1"
"Alessandro Tarozzi" "Alessandro" NA "male" "1"
"Alessandro Veneziani" "Alessandro" NA "male" "1"
"Alessio Farcomeni" "Alessio" NA "male" "1"
"Alex Gammerman" "Alex" NA "male" "0.9657"
"Alex Kiss" "Alex" NA "male" "0.9657"
"Alex Lenkoski" "Alex" NA "male" "0.9657"
"Alex Lewin" "Alex" NA "male" "0.9657"
"Alexander Aue" "Alexander" NA "male" "0.9921"
"Alexander G Tartakovsky" "Alexander" NA "male" "0.9921"
"Alexander Gluhovsky" "Alexander" NA "male" "0.9921"
"Alexander Goldenshluger" "Alexander" NA "male" "0.9921"
"Alexander J McNeil" "Alexander" NA "male" "0.9921"
"Alexander J Smola" "Alexander" NA "male" "0.9921"
"Alexander Lindner" "Alexander" NA "male" "0.9921"
"Alexander M Spence" "Alexander" NA "male" "0.9921"
"Alexander Meister" "Alexander" NA "male" "0.9921"
"Alexander Samarov" "Alexander" NA "male" "0.9921"
"Alexandra M Schmidt" "Alexandra" NA "female" "0.0037"
"Alexandra Ramos" "Alexandra" NA "female" "0.0037"
"Alexandre B Tsybakov" "Alexandre" NA "male" "0.9645"
"Alexandre Belloni" "Alexandre" NA "male" "0.9645"
"Alexandre Pintore" "Alexandre" NA "male" "0.9645"
"Alexandre Rodrigues" "Alexandre" NA "male" "0.9645"
"Alexandros Beskos" "Alexandros" NA "male" "1"
"Alexis Diamond" "Alexis" NA "female" "0.1452"
"Alfio Marazzi" "Alfio" NA "male" "1"
"Alfonso Gordaliza" "Alfonso" NA "male" "0.997"
"Alfonso Suarez-Llorens" "Alfonso" NA "male" "0.997"
"Alfred Hero" "Alfred" NA "male" "0.9942"
"Alfred Kume" "Alfred" NA "male" "0.9942"
"Alfredo Navarro" "Alfredo" NA "male" "0.9939"
"Ali Ekici" "Ali" NA "male" "0.6877"
"Ali M Mosammam" "Ali" NA "male" "0.6877"
"Ali Shojaie" "Ali" NA "male" "0.6877"
"Alice S Whittemore" "Alice" NA "female" "0.0034"
"Alicia Carriquiry" "Alicia" NA "female" "0.0031"
"Aliye Atay-Kayis" "Aliye" NA "female" "0"
"Allan R Sampson" "Allan" NA "male" "0.9972"
"Allan Timmermann" "Allan" NA "male" "0.9972"
"Alois Kneip" "Alois" NA "male" "0.9345"
"Alvaro Sandroni" "Alvaro" NA "male" "0.9996"
"Alysha M De Livera" "Alysha" NA "female" "0"
"Amanda S Hering" "Amanda" NA "female" "0.0026"
"Amgen Research Group" "Amgen" "Research" "unknown" NA
"Amita Manatunga" "Amita" NA "female" "0"
"Amnon Neeman" "Amnon" NA "male" "1"
"Amy H Herring" "Amy" NA "female" "0.0026"
"Amy J Braverman" "Amy" NA "female" "0.0026"
"Ana-Maria Staicu" "Ana-Maria" NA "unknown" NA
"Ana Broemeling" "Ana" NA "female" "0.006"
"Ana Grohovac Rappold" "Ana" "Grohovac" "female" "0.006"
"Ana J Villar" "Ana" NA "female" "0.006"
"Ana Justel" "Ana" NA "female" "0.006"
"Anand N Vidyashankar" "Anand" NA "male" "1"
"Ananias A Escalante" "Ananias" NA "male" "1"
"Ananya Roy" "Ananya" NA "female" "0"
"Anastasia Ivanova" "Anastasia" NA "female" "7e-04"
"Anastasia Papavasiliou" "Anastasia" NA "female" "7e-04"
"Anastasios A Tsiatis" "Anastasios" NA "male" "1"
"Anat Sakov" "Anat" NA "female" "0"
"Anatoli B Juditsky" "Anatoli" NA "male" "1"
"Anatoly Zhigljavsky" "Anatoly" NA "male" "1"
"Anders Rahbek" "Anders" NA "male" "1"
"Andrada E Ivanescu" "Andrada" NA "unknown" NA
"Andre Lucas" "Andre" NA "male" "0.9803"
"Andrea Bergesio" "Andrea" NA "female" "0.0125"
"Andrea Cerioli" "Andrea" NA "female" "0.0125"
"Andrea Hennerfeind" "Andrea" NA "female" "0.0125"
"Andrea Rotnitzky" "Andrea" NA "female" "0.0125"
"Andreas Brezger" "Andreas" NA "male" "0.992"
"Andreas Buja" "Andreas" NA "male" "0.992"
"Andreas Futschik" "Andreas" NA "male" "0.992"
"Andrei Y Yakovlev" "Andrei" NA "male" "1"
"Andrej Pazman" "Andrej" NA "male" "1"
"Andres Farall" "Andres" NA "male" "0.9936"
"Andrew B Nobel" "Andrew" NA "male" "0.996"
"Andrew Gelman" "Andrew" NA "male" "0.996"
"Andrew J Patton" "Andrew" NA "male" "0.996"
"Andrew L Rukhin" "Andrew" NA "male" "0.996"
"Andrew M Stuart" "Andrew" NA "male" "0.996"
"Andrew O Finley" "Andrew" NA "male" "0.996"
"Andrew P Robinson" "Andrew" NA "male" "0.996"
"Andrew R Barron" "Andrew" NA "male" "0.996"
"Andrew S Allen" "Andrew" NA "male" "0.996"
"Andrew T A Wood" "Andrew" NA "male" "0.996"
"Andrew T Walden" "Andrew" NA "male" "0.996"
"Andrew V Carter" "Andrew" NA "male" "0.996"
"Andrew W Bergen" "Andrew" NA "male" "0.996"
"Andrey Pepelyshev" "Andrey" NA "male" "0.9478"
"Andriy Norets" "Andriy" NA "male" "1"
"Andrzej S Kozek" "Andrzej" NA "male" "1"
"Andy J Minn" "Andy" NA "male" "0.9881"
"Anestis Antoniadis" "Anestis" NA "male" "1"
"Angela Kempe" "Angela" NA "female" "0.003"
"Angela M Dean" "Angela" NA "female" "0.003"
"Angela Winnett" "Angela" NA "female" "0.003"
"Angelika Rohde" "Angelika" NA "female" "0"
"Aniko Szabo" "Aniko" NA "female" "0"
"Anil Aswani" "Anil" NA "male" "1"
"Anindya Bhadra" "Anindya" NA "unknown" NA
"Anindya Roy" "Anindya" NA "unknown" NA
"Anirban Bhattacharya" "Anirban" NA "unknown" NA
"Ann B Lee" "Ann" NA "female" "0.0027"
"Anna Clara Monti" "Anna" "Clara" "female" "0.0029"
"Anna K Panorska" "Anna" NA "female" "0.0029"
"Anna Maria Siega-Riz" "Anna" "Maria" "female" "0.0029"
"Anne-Catherine Favre" "Anne-Catherine" NA "unknown" NA
"Anne Gegout-Petit" "Anne" NA "female" "0.0025"
"Annie Qu" "Annie" NA "female" "0.0053"
"Anny Hui Xiang" "Anny" "Hui" "female" "0"
"Anouar El Ghouch" "Anouar" "El" "male" "0.8996"
"Antai Wang" "Antai" NA "unknown" NA
"Anthony Brockwell" "Anthony" NA "male" "0.9946"
"Anthony C Atkinson" "Anthony" NA "male" "0.9946"
"Anthony C Hart" "Anthony" NA "male" "0.9946"
"Anthony Garratt" "Anthony" NA "male" "0.9946"
"Anthony OHagan" "Anthony" NA "male" "0.9946"
"Anthony R Olsen" "Anthony" NA "male" "0.9946"
"Anthony Reveillac" "Anthony" NA "male" "0.9946"
"Anthony W Ledford" "Anthony" NA "male" "0.9946"
"Anthony Y C Kuk" "Anthony" NA "male" "0.9946"
"Antoine Chambaz" "Antoine" NA "male" "0.9847"
"Anton Schick" "Anton" NA "male" "0.9985"
"Antonella Capitanio" "Antonella" NA "female" "0"
"Antonietta Mira" "Antonietta" NA "female" "0"
"Antonio Canale" "Antonio" NA "male" "0.9914"
"Antonio Cuevas" "Antonio" NA "male" "0.9914"
"Antonio Forcina" "Antonio" NA "male" "0.9914"
"Antonio Lijoi" "Antonio" NA "male" "0.9914"
"Anuj Srivastava" "Anuj" NA "male" "1"
"Ao Yuan" "Ao" NA "unknown" NA
"Apostolos Serletis" "Apostolos" NA "male" "1"
"Arash A Amini" "Arash" NA "male" "1"
"Ardo van den Hout" "Ardo" "van" "male" "1"
"Arijit Chakrabarti" "Arijit" NA "male" "1"
"Arjun K Gupta" "Arjun" NA "male" "1"
"Arkadi S Nemirovski" "Arkadi" NA "unknown" NA
"Arkady B Khodursky" "Arkady" NA "male" "1"
"Arleta Szkola" "Arleta" NA "female" "0"
"Armelle Guillou" "Armelle" NA "female" "0"
"Armin Schwartzman" "Armin" NA "male" "1"
"Arnab Maity" "Arnab" NA "male" "1"
"Arnak Dalalyan" "Arnak" NA "unknown" NA
"Arnaud Doucet" "Arnaud" NA "male" "1"
"Arnaud Durand" "Arnaud" NA "male" "1"
"Arnaud Gloter" "Arnaud" NA "male" "1"
"Arne Kovac" "Arne" NA "male" "1"
"Arnold Janssen" "Arnold" NA "male" "0.9955"
"Arnoldo Frigessi" "Arnoldo" NA "male" "1"
"Arnost Komarek" "Arnost" NA "male" "1"
"Arseni Seregin" "Arseni" NA "male" "1"
"Art B Owen" "Art" NA "male" "1"
"Arthur Cohen" "Arthur" NA "male" "0.9937"
"Arthur L Dryver" "Arthur" NA "male" "0.9937"
"Arthur Pewsey" "Arthur" NA "male" "0.9937"
"Arthur Spirling" "Arthur" NA "male" "0.9937"
"Arthur van Soest" "Arthur" "van" "male" "0.9937"
"Arthur Yu Lu" "Arthur" "Yu" "male" "0.9937"
"Arup Bose" "Arup" NA "male" "1"
"Ashutosh Tewari" "Ashutosh" NA "male" "1"
"Assaf Zeevi" "Assaf" NA "male" "1"
"Athanasia Petsa" "Athanasia" NA "female" "0"
"Athanasios C Micheas" "Athanasios" NA "male" "1"
"Athanasios Kottas" "Athanasios" NA "male" "1"
"Atsushi Inoue" "Atsushi" NA "male" "1"
"Aurore Delaigle" "Aurore" NA "female" "0"
"Avishai Mandelbaum" "Avishai" NA "male" "1"
"Avital Cnaan" "Avital" NA "female" "0"
"Axel Bucher" "Axel" NA "male" "0.9962"
"Axel Gandy" "Axel" NA "male" "0.9962"
"Axel Munk" "Axel" NA "male" "0.9962"
"Azadeh Alimadad" "Azadeh" NA "female" "0"
"Azeem M Shaikh" "Azeem" NA "male" "1"
"B B Bhattacharyya" NA NA "unknown" NA
"B Clarke" NA NA "unknown" NA
"B Devlin" NA NA "unknown" NA
"B J K Kleijn" NA NA "unknown" NA
"B K Sinha" NA NA "unknown" NA
"B L De Stavola" NA NA "unknown" NA
"B M Brown" NA NA "unknown" NA
"B Nebiyou Bekele" NA "Nebiyou" "unknown" NA
"B Sigal" NA NA "unknown" NA
"B T Knapik" NA NA "unknown" NA
"Bahjat F Qaqish" "Bahjat" NA "unknown" NA
"Baibing Li" "Baibing" NA "unknown" NA
"Baiqi Miao" "Baiqi" NA "unknown" NA
"Baisuo Jin" "Baisuo" NA "unknown" NA
"Bakhodir Ergashev" "Bakhodir" NA "unknown" NA
"Bala Rajaratnam" "Bala" NA "male" "0.5755"
"Balgobin Nandram" "Balgobin" NA "unknown" NA
"Bani Mallick" "Bani" NA "female" "0"
"Baojiang Chen" "Baojiang" NA "unknown" NA
"Barbara Bogacka" "Barbara" NA "female" "0.0027"
"Barbara Klein" "Barbara" NA "female" "0.0027"
"Barbara Szyszkowicz" "Barbara" NA "female" "0.0027"
"Barry C Arnold" "Barry" NA "male" "0.9955"
"Barry Falk" "Barry" NA "male" "0.9955"
"Barry I Graubard" "Barry" NA "male" "0.9955"
"Barry M Lesht" "Barry" NA "male" "0.9955"
"Barry Rowlingson" "Barry" NA "male" "0.9955"
"Bas J M Werker" "Bas" NA "female" "0"
"Beatrice Giglio" "Beatrice" NA "female" "0.0034"
"Beatrice Laurent" "Beatrice" NA "female" "0.0034"
"Beatrix Jones" "Beatrix" NA "female" "0"
"Beatriz Larraz" "Beatriz" NA "female" "0.0032"
"Beatriz V M Mendes" "Beatriz" NA "female" "0.0032"
"Bee Leng Lee" "Bee" "Leng" "male" "0.7386"
"Belkacem Abdous" "Belkacem" NA "unknown" NA
"Ben B Hansen" "Ben" NA "male" "0.996"
"Ben Calderhead" "Ben" NA "male" "0.996"
"Ben Haaland" "Ben" NA "male" "0.996"
"Benedikt M Potscher" "Benedikt" NA "male" "1"
"Benjamin Williams" "Benjamin" NA "male" "0.9962"
"Benjamin Yakir" "Benjamin" NA "male" "0.9962"
"Benoit Cadre" "Benoit" NA "male" "1"
"Benoit R Masse" "Benoit" NA "male" "1"
"Bent Jorgensen" "Bent" NA "male" "0.9948"
"Bent Nielsen" "Bent" NA "male" "0.9948"
"Bernard Bercu" "Bernard" NA "male" "0.995"
"Bernard Harris" "Bernard" NA "male" "0.995"
"Bernard W Silverman" "Bernard" NA "male" "0.995"
"Bernardo Colombo" "Bernardo" NA "male" "1"
"Bernd Fitzenberger" "Bernd" NA "male" "1"
"Bernd Sturmfels" "Bernd" NA "male" "1"
"Bernhard Scholkopf" "Bernhard" NA "male" "1"
"Bertrand Melenberg" "Bertrand" NA "male" "1"
"Bess Marcus" "Bess" NA "female" "0"
"Beth Andrews" "Beth" NA "female" "0.002"
"Beth Ann Griffin" "Beth" "Ann" "female" "0.002"
"Bhaskar Bhattacharya" "Bhaskar" NA "unknown" NA
"Bhramar Mukherjee" "Bhramar" NA "unknown" NA
"Biao Zhang" "Biao" NA "unknown" NA
"Bichun Ouyang" "Bichun" NA "unknown" NA
"Billy Amzal" "Billy" NA "male" "0.9881"
"Bin Nan" "Bin" NA "male" "1"
"Bin Yu" "Bin" NA "male" "1"
"Bin Zhu" "Bin" NA "male" "1"
"Bing-Yi Jing" "Bing-Yi" NA "unknown" NA
"Bing Li" "Bing" NA "male" "1"
"Birgit I Witte" "Birgit" NA "female" "0"
"Bitao Liu" "Bitao" NA "unknown" NA
"Bo Cai" "Bo" NA "male" "0.9348"
"Bo Henry Lindqvist" "Bo" "Henry" "male" "0.9348"
"Bo Kai" "Bo" NA "male" "0.9348"
"Bo Li" "Bo" NA "male" "0.9348"
"Bo Yang" "Bo" NA "male" "0.9348"
"Boaz Nadler" "Boaz" NA "male" "1"
"Bob Zhong" "Bob" NA "male" "0.9969"
"Bodhisattva Sen" "Bodhisattva" NA "unknown" NA
"Bonifacio Salvador" "Bonifacio" NA "male" "1"
"Bonnie Ghosh-Dastidar" "Bonnie" NA "female" "0.008"
"Boris Buchmann" "Boris" NA "male" "1"
"Boris Iglewicz" "Boris" NA "male" "1"
"Borus Jungbacker" "Borus" NA "unknown" NA
"Bowei Xi" "Bowei" NA "unknown" NA
"Boxin Tang" "Boxin" NA "unknown" NA
"Brad McNeney" "Brad" NA "male" "0.997"
"Bradley Efron" "Bradley" NA "male" "0.9953"
"Bradley Jones" "Bradley" NA "male" "0.9953"
"Bradley P Carlin" "Bradley" NA "male" "0.9953"
"Bradley S Peterson" "Bradley" NA "male" "0.9953"
"Brendan P M McCabe" "Brendan" NA "male" "0.996"
"Brent A Coull" "Brent" NA "male" "0.9956"
"Brent A Johnson" "Brent" NA "male" "0.9956"
"Brent Kreider" "Brent" NA "male" "0.9956"
"Brent R Logan" "Brent" NA "male" "0.9956"
"Bret Hanlon" "Bret" NA "male" "0.9917"
"Brett Presnell" "Brett" NA "male" "0.9786"
"Brian D M Tom" "Brian" NA "male" "0.9958"
"Brian D Ripley" "Brian" NA "male" "0.9958"
"Brian H Aukema" "Brian" NA "male" "0.9958"
"Brian H Reck" "Brian" NA "male" "0.9958"
"Brian J Reich" "Brian" NA "male" "0.9958"
"Brian S Caffo" "Brian" NA "male" "0.9958"
"Brian S Yandell" "Brian" NA "male" "0.9958"
"Brian Williams" "Brian" NA "male" "0.9958"
"Brisa N Sanchez" "Brisa" NA "female" "0"
"Bruce E Hansen" "Bruce" NA "male" "0.9965"
"Bruce G Lindsay" "Bruce" NA "male" "0.9965"
"Bruce W Turnbull" "Bruce" NA "male" "0.9965"
"Brunero Liseo" "Brunero" NA "unknown" NA
"Bruno Remillard" "Bruno" NA "male" "1"
"Bruno Sanso" "Bruno" NA "male" "1"
"Bryan E Shepherd" "Bryan" NA "male" "0.9951"
"Bryan Langholz" "Bryan" NA "male" "0.9951"
"Burkhardt Seifert" "Burkhardt" NA "male" "1"
"Byeong U Park" "Byeong" NA "unknown" NA
"Byron Ellis" "Byron" NA "male" "0.9958"
"Byron J T Morgan" "Byron" NA "male" "0.9958"
"Byron Schmuland" "Byron" NA "male" "0.9958"
"C A Field" NA NA "unknown" NA
"C C Tan" NA NA "unknown" NA
"C D Barr" NA NA "unknown" NA
"C Devon Lin" NA "Devon" "unknown" NA
"C F Jeff Wu" NA NA "unknown" NA
"C F Sirmans" NA NA "unknown" NA
"C G Wager" NA NA "unknown" NA
"C Goga" NA NA "unknown" NA
"C H Sim" NA NA "unknown" NA
"C Hendricks Brown" NA "Hendricks" "unknown" NA
"C Houdre" NA NA "unknown" NA
"C J Brien" NA NA "unknown" NA
"C J Wild" NA NA "unknown" NA
"C Kiss" NA NA "unknown" NA
"C Lacour" NA NA "unknown" NA
"C Levy-Leduc" NA NA "unknown" NA
"C M Jack Wang" NA NA "unknown" NA
"C Messan Setodji" NA "Messan" "unknown" NA
"C N Kuruwita" NA NA "unknown" NA
"C Paddy Farrington" NA "Paddy" "unknown" NA
"C S Wong" NA NA "unknown" NA
"C Semadeni" NA NA "unknown" NA
"C Shane Reese" NA "Shane" "unknown" NA
"C Thomas Agnan" NA "Thomas" "unknown" NA
"C Tommasi" NA NA "unknown" NA
"C Wang" NA NA "unknown" NA
"C Y Wang" NA NA "unknown" NA
"C Yau" NA NA "unknown" NA
"Camelia S Sima" "Camelia" NA "female" "0"
"Cari G Kaufman" "Cari" NA "female" "0.0042"
"Carlo Gaetan" "Carlo" NA "male" "0.9923"
"Carlos Acuna" "Carlos" NA "male" "0.9922"
"Carlos Almeida" "Carlos" NA "male" "0.9922"
"Carlos E Pedreira" "Carlos" NA "male" "0.9922"
"Carlos M Carvalho" "Carlos" NA "male" "0.9922"
"Carlos Matran" "Carlos" NA "male" "0.9922"
"Carlos Vallarino" "Carlos" NA "male" "0.9922"
"Carlos Velasco" "Carlos" NA "male" "0.9922"
"Carmen Cadarso-Suarez" "Carmen" NA "female" "0.0812"
"Carmen Fernandez" "Carmen" NA "female" "0.0812"
"Caroline Beunckens" "Caroline" NA "female" "0.0015"
"Carolyn M Rutter" "Carolyn" NA "female" "0.0028"
"Carsten H Botts" "Carsten" NA "male" "1"
"Caspar M Ammann" "Caspar" NA "male" "1"
"Casper J Albers" "Casper" NA "male" "1"
"Cassandra Arroyo" "Cassandra" NA "female" "0.0022"
"Caterina May" "Caterina" NA "female" "0"
"Catherine A Calder" "Catherine" NA "female" "0.0027"
"Catherine A Sugar" "Catherine" NA "female" "0.0027"
"Catherine Datto" "Catherine" NA "female" "0.0027"
"Catherine Loader" "Catherine" NA "female" "0.0027"
"Catherine Matias" "Catherine" NA "female" "0.0027"
"Catherine Schairer" "Catherine" NA "female" "0.0027"
"Catherine Vermandele" "Catherine" NA "female" "0.0027"
"Catia Scricciolo" "Catia" NA "female" "0"
"Catriona M Queen" "Catriona" NA "female" "0"
"Cavan Reilly" "Cavan" NA "male" "1"
"Cecile Durot" "Cecile" NA "female" "0.0079"
"Cecile Hardouin" "Cecile" NA "female" "0.0079"
"Celia Byrne" "Celia" NA "female" "0.0012"
"Celine Vial" "Celine" NA "female" "0"
"Chad J Gwaltney" "Chad" NA "male" "0.9954"
"Chad M Schafer" "Chad" NA "male" "0.9954"
"Chandan Saha" "Chandan" NA "male" "1"
"Chang-Yung Yu" "Chang-Yung" NA "unknown" NA
"Chang Xuan Mao" "Chang" "Xuan" "male" "0.983"
"Changbao Wu" "Changbao" NA "unknown" NA
"Changchun Wang" "Changchun" NA "unknown" NA
"Changliang Zou" "Changliang" NA "unknown" NA
"Chao Yang" "Chao" NA "male" "0.8816"
"Charles C Taylor" "Charles" NA "male" "0.9949"
"Charles E McCulloch" "Charles" NA "male" "0.9949"
"Charles H Hennekens" "Charles" NA "male" "0.9949"
"Charles J Geyer" "Charles" NA "male" "0.9949"
"Charles R G Guttmann" "Charles" NA "male" "0.9949"
"Chen-Pin Wang" "Chen-Pin" NA "unknown" NA
"Chen-Sheng Lin" "Chen-Sheng" NA "unknown" NA
"Cheng-Der Fuh" "Cheng-Der" NA "unknown" NA
"Cheng Yong Tang" "Cheng" "Yong" "male" "0.9371"
"Cheng Zhu" "Cheng" NA "male" "0.9371"
"Chengcheng Hu" "Chengcheng" NA "unknown" NA
"Chenlei Leng" "Chenlei" NA "unknown" NA
"Cheolwoo Park" "Cheolwoo" NA "unknown" NA
"Chi-Lun Cheng" "Chi-Lun" NA "unknown" NA
"Chia-Hung Yen" "Chia-Hung" NA "unknown" NA
"Chiara Sabatti" "Chiara" NA "female" "0"
"Chien-Jen Chen" "Chien-Jen" NA "unknown" NA
"Chien-Tai Lin" "Chien-Tai" NA "unknown" NA
"Chih-Ling Tsai" "Chih-Ling" NA "unknown" NA
"Chin-Hsu Lin" "Chin-Hsu" NA "unknown" NA
"Ching-Kang Ing" "Ching-Kang" NA "unknown" NA
"Ching-Shui Cheng" "Ching-Shui" NA "unknown" NA
"Ching-Ti Liu" "Ching-Ti" NA "unknown" NA
"Ching-Zong Wei" "Ching-Zong" NA "unknown" NA
"Chiung-Yu Huang" "Chiung-Yu" NA "unknown" NA
"Chloe Friguet" "Chloe" NA "female" "0.0016"
"Chong-Zhi Di" "Chong-Zhi" NA "unknown" NA
"Chong Gu" "Chong" NA "male" "0.578"
"Chong Tu" "Chong" NA "male" "0.578"
"Chris A J Klaasen" "Chris" NA "male" "0.8507"
"Chris C Holmes" "Chris" NA "male" "0.8507"
"Chris Daly" "Chris" NA "male" "0.8507"
"Chris Hans" "Chris" NA "male" "0.8507"
"Chris Muris" "Chris" NA "male" "0.8507"
"Chris Sherlock" "Chris" NA "male" "0.8507"
"Chris Skinner" "Chris" NA "male" "0.8507"
"Christel Faes" "Christel" NA "female" "0"
"Christian Bressen Pipper" "Christian" "Bressen" "male" "0.9491"
"Christian Francq" "Christian" NA "male" "0.9491"
"Christian Genest" "Christian" NA "male" "0.9491"
"Christian Hafner" "Christian" NA "male" "0.9491"
"Christian Hennig" "Christian" NA "male" "0.9491"
"Christian P Robert" "Christian" NA "male" "0.9491"
"Christian Peter Klingenberg" "Christian" "Peter" "male" "0.9491"
"Christian Ritz" "Christian" NA "male" "0.9491"
"Christian Schmidt" "Christian" NA "male" "0.9491"
"Christiana Kartsonaki" "Christiana" NA "female" "0"
"Christina Kendziorski" "Christina" NA "female" "0.004"
"Christine G Elsik" "Christine" NA "female" "0.0032"
"Christine H Muller" "Christine" NA "female" "0.0032"
"Christine Jacob" "Christine" NA "female" "0.0032"
"Christine S Olver" "Christine" NA "female" "0.0032"
"Christoph Rothe" "Christoph" NA "male" "1"
"Christophe Abraham" "Christophe" NA "male" "1"
"Christophe Ambroise" "Christophe" NA "male" "1"
"Christophe Andrieu" "Christophe" NA "male" "1"
"Christophe Crambes" "Christophe" NA "male" "1"
"Christophe Giraud" "Christophe" NA "male" "1"
"Christophe Ladroue" "Christophe" NA "male" "1"
"Christopher A Bush" "Christopher" NA "male" "0.995"
"Christopher A Carolan" "Christopher" NA "male" "0.995"
"Christopher A T Ferro" "Christopher" NA "male" "0.995"
"Christopher B Forrest" "Christopher" NA "male" "0.995"
